anomalie
condition_13 / 2005-08-27 : non-port (moyenne 0.27 / minute)
condition_13 / 2005-08-28 : non-port (moyenne 0.20 / minute)
condition_16 / 2005-10-09 : trop peu de minutes actives (0.7%)
condition_16 / 2005-10-10 : non-port (moyenne 0.04 / minute)
condition_16 / 2005-10-11 : non-port (moyenne 0.00 / minute)
condition_16 / 2005-10-12 : non-port (moyenne 0.00 / minute)
condition_16 / 2005-10-13 : non-port (moyenne 0.03 / minute)
condition_16 / 2005-10-14 : non-port (moyenne 0.01 / minute)
condition_16 / 2005-10-15 : non-port (moyenne 0.19 / minute)
condition_16 / 2005-10-16 : non-port (moyenne 0.36 / minute)
condition_16 / 2005-10-17 : non-port (moyenne 0.47 / minute)
condition_16 / 2005-10-18 : non-port (moyenne 0.97 / minute)
condition_2 / 2003-05-27 : signal constant (ecart-type 0.84)
condition_2 / 2003-05-31 : signal constant (ecart-type 0.70)
condition_2 / 2003-06-01 : signal constant (ecart-type 0.92)
condition_20 / 2002-06-08 : non-port (moyenne 0.00 / minute)
condition_20 / 2002-06-09 : non-port (moyenne 0.00 / minute)
condition_20 / 2002-06-10 : non-port (moyenne 0.00 / minute)
condition_23 / 2002-06-24 : trop peu de minutes actives (1.2%)
condition_23 / 2002-06-25 : non-port (moyenne 0.38 / minute)
condition_23 / 2002-06-26 : non-port (moyenne 0.66 / minute)
condition_23 / 2002-06-27 : non-port (moyenne 0.41 / minute)
control_1 / 2003-03-30 : 1380 minutes
control_1 / 2003-04-05 : non-port (moyenne 0.00 / minute)
control_1 / 2003-04-06 : non-port (moyenne 0.00 / minute)
control_1 / 2003-04-07 : non-port (moyenne 0.13 / minute)
control_1 / 2003-04-08 : non-port (moyenne 0.06 / minute)
control_1 / 2003-04-11 : non-port (moyenne 0.26 / minute)
control_1 / 2003-04-12 : non-port (moyenne 0.02 / minute)
control_1 / 2003-04-13 : non-port (moyenne 0.00 / minute)
control_1 / 2003-04-14 : non-port (moyenne 0.00 / minute)
control_1 / 2003-04-15 : non-port (moyenne 0.00 / minute)
control_11 / 2003-12-10 : non-port (moyenne 0.05 / minute)
control_11 / 2003-12-11 : non-port (moyenne 0.00 / minute)
control_12 / 2003-12-13 : non-port (moyenne 0.00 / minute)
control_12 / 2003-12-14 : non-port (moyenne 0.00 / minute)
control_12 / 2003-12-15 : signal constant (ecart-type 0.95)
control_12 / 2003-12-16 : signal constant (ecart-type 0.00)
control_12 / 2003-12-17 : signal constant (ecart-type 0.05)
control_17 / 2003-12-24 : non-port (moyenne 0.32 / minute)
control_17 / 2003-12-25 : non-port (moyenne 0.00 / minute)
control_17 / 2003-12-26 : non-port (moyenne 0.00 / minute)
control_17 / 2003-12-27 : non-port (moyenne 0.00 / minute)
control_17 / 2003-12-28 : non-port (moyenne 0.00 / minute)
control_18 / 2004-01-24 : non-port (moyenne 0.02 / minute)
control_18 / 2004-01-25 : non-port (moyenne 0.49 / minute)
control_19 / 2004-01-24 : non-port (moyenne 0.00 / minute)
control_19 / 2004-01-25 : non-port (moyenne 0.00 / minute)
control_19 / 2004-01-26 : non-port (moyenne 0.31 / minute)
control_20 / 2004-02-11 : non-port (moyenne 0.11 / minute)
